state	!=	$	&&	(	)	*	+	-	/	3	4	;	<	<=	=	==	>	>=	[	]	do	else	float	i	if	int	j	while	{	||	}	L	M	N	bool	decl	decls	expr	expr;	factor	id	num	rel	stmt	stmts	stmts'	term	type	
84	error	error	error	r84	error	error	error	error	error	r84	r84	error	error	error	error	error	error	error	error	error	error	error	error	r84	error	error	r84	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
85	error	error	error	r85	error	error	error	error	error	r85	r85	error	error	error	error	error	error	error	error	error	error	error	error	r85	error	error	r85	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
86	error	error	error	r86	error	error	error	error	error	r86	r86	error	error	error	error	error	error	error	error	error	error	error	error	r86	error	error	r86	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
88	error	error	error	error	error	error	error	error	error	error	error	s89	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
89	error	r89	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	r89	error	r89	r89	r89	r89	r89	r89	r89	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
90	error	r91	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	r91	error	r91	r91	r91	r91	r91	r91	r91	error	error	error	error	error	error	error	29	error	error	error	error	error	error	error	error	error	error	error	
92	error	r92	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	r92	r92	error	r92	r92	error	r92	r92	r92	error	r92	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
94	error	error	error	s2	error	error	error	error	error	s3	s4	error	error	error	error	error	error	error	error	error	error	error	error	s8	error	error	s10	error	error	error	error	error	error	error	error	error	error	error	error	98	62	11	error	error	error	error	error	error	
95	error	error	error	s2	error	error	error	error	error	s3	s4	error	error	error	error	error	error	error	error	error	error	error	error	s8	error	error	s10	error	error	error	error	error	error	error	error	error	error	error	error	99	62	11	error	error	error	error	error	error	
98	r98	error	r98	error	r98	r98	r98	r98	r98	error	error	r98	r98	r98	error	r98	r98	r98	error	r98	error	error	error	error	error	error	error	error	error	r98	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
99	r99	error	r99	error	r99	r99	r99	r99	r99	error	error	r99	r99	r99	error	r99	r99	r99	error	r99	error	error	error	error	error	error	error	error	error	r99	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
100	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	101	error	error	error	error	error	error	error	error	error	
101	error	r101	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	r101	r101	error	r101	r101	error	r101	r101	r101	error	r101	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
102	error	r102	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	r102	r102	error	r102	r102	error	r102	r102	r102	error	r102	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
103	error	r103	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	r103	r103	error	r103	r103	error	r103	r103	r103	error	r103	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
